game_id,season
10800114,2008
10800115,2008
10900001,2009
10900004,2009
10900005,2009
10900006,2009
10900007,2009
10900008,2009
10900010,2009
10900011,2009
10900012,2009
10900013,2009
10900014,2009
10900015,2009
10900016,2009
10900017,2009
10900018,2009
10900020,2009
10900021,2009
10900023,2009
10900024,2009
10900025,2009
10900026,2009
10900027,2009
10900028,2009
10900029,2009
10900030,2009
10900031,2009
10900032,2009
10900033,2009
10900034,2009
10900035,2009
10900037,2009
10900038,2009
10900040,2009
10900041,2009
10900042,2009
10900043,2009
10900044,2009
10900045,2009
10900046,2009
10900048,2009
10900049,2009
10900050,2009
10900051,2009
10900054,2009
10900055,2009
10900056,2009
10900057,2009
10900058,2009
10900059,2009
10900060,2009
10900061,2009
10900062,2009
10900063,2009
10900064,2009
10900065,2009
10900066,2009
10900067,2009
10900068,2009
10900069,2009
10900071,2009
10900072,2009
10900073,2009
10900074,2009
10900075,2009
10900076,2009
10900077,2009
10900078,2009
10900079,2009
10900081,2009
10900082,2009
10900083,2009
10900084,2009
10900085,2009
10900086,2009
10900088,2009
10900089,2009
10900090,2009
10900091,2009
10900092,2009
10900093,2009
10900094,2009
10900095,2009
10900096,2009
10900097,2009
10900098,2009
10900099,2009
10900100,2009
10900101,2009
10900102,2009
10900103,2009
10900104,2009
10900105,2009
10900106,2009
10900107,2009
10900108,2009
10900109,2009
10900110,2009
10900111,2009
10900112,2009
10900114,2009
10900115,2009
10900116,2009
10900117,2009
10900118,2009
11000001,2010
11000002,2010
11000003,2010
11000004,2010
11000005,2010
11000006,2010
11000007,2010
11000008,2010
11000009,2010
11000010,2010
11000011,2010
11000012,2010
11000013,2010
11000014,2010
11000015,2010
11000016,2010
11000017,2010
11000018,2010
11000019,2010
11000020,2010
11000021,2010
11000022,2010
11000023,2010
11000024,2010
11000025,2010
11000026,2010
11000027,2010
11000028,2010
11000029,2010
11000030,2010
11000031,2010
11000032,2010
11000033,2010
11000034,2010
11000036,2010
11000037,2010
11000039,2010
11000040,2010
11000041,2010
11000042,2010
11000043,2010
11000044,2010
11000045,2010
11000046,2010
11000047,2010
11000048,2010
11000049,2010
11000050,2010
11000051,2010
11000052,2010
11000053,2010
11000054,2010
11000055,2010
11000056,2010
11000057,2010
11000058,2010
11000059,2010
11000060,2010
11000061,2010
11000062,2010
11000063,2010
11000064,2010
11000065,2010
11000066,2010
11000067,2010
11000068,2010
11000069,2010
11000070,2010
11000071,2010
11000072,2010
11000073,2010
11000074,2010
11000075,2010
11000076,2010
11000077,2010
11000078,2010
11000079,2010
11000080,2010
11000081,2010
11000082,2010
11000083,2010
11000084,2010
11000085,2010
11000087,2010
11000088,2010
11000089,2010
11000090,2010
11000091,2010
11000092,2010
11000093,2010
11000094,2010
11000095,2010
11000097,2010
11000098,2010
11000100,2010
11000101,2010
11000102,2010
11000103,2010
11000104,2010
11000105,2010
11000106,2010
11000107,2010
11000108,2010
11000110,2010
11000111,2010
11000112,2010
11000113,2010
11000114,2010
11000115,2010
11000116,2010
11000118,2010
11000120,2010
11100001,2011
11100002,2011
11100003,2011
11100004,2011
11100005,2011
11100006,2011
11100007,2011
11100008,2011
11100009,2011
11100010,2011
11100011,2011
11100012,2011
11100013,2011
11100014,2011
11100015,2011
11100016,2011
11100017,2011
11100018,2011
11100019,2011
11100020,2011
11100021,2011
11100022,2011
11100023,2011
11100024,2011
11100026,2011
11100027,2011
11100028,2011
11100029,2011
11100030,2011
11200001,2012
11200002,2012
11200003,2012
11200004,2012
11200005,2012
11200006,2012
11200007,2012
11200008,2012
11200009,2012
11200010,2012
11200011,2012
11200012,2012
11200013,2012
11200014,2012
11200015,2012
11200016,2012
11200018,2012
11200019,2012
11200020,2012
11200021,2012
11200022,2012
11200023,2012
11200024,2012
11200025,2012
11200026,2012
11200027,2012
11200028,2012
11200030,2012
11200031,2012
11200032,2012
11200033,2012
11200036,2012
11200037,2012
11200039,2012
11200040,2012
11200042,2012
11200043,2012
11200044,2012
11200045,2012
11200046,2012
11200047,2012
11200048,2012
11200049,2012
11200050,2012
11200051,2012
11200052,2012
11200053,2012
11200055,2012
11200056,2012
11200057,2012
11200058,2012
11200060,2012
11200061,2012
11200062,2012
11200063,2012
11200064,2012
11200065,2012
11200066,2012
11200067,2012
11200068,2012
11200069,2012
11200071,2012
11200072,2012
11200073,2012
11200074,2012
11200075,2012
11200076,2012
11200077,2012
11200079,2012
11200080,2012
11200081,2012
11200082,2012
11200083,2012
11200084,2012
11200085,2012
11200086,2012
11200087,2012
11200088,2012
11200089,2012
11200090,2012
11200092,2012
11200094,2012
11200095,2012
11200096,2012
11200097,2012
11200098,2012
11200099,2012
11200100,2012
11200101,2012
11200102,2012
11200104,2012
11200105,2012
11200106,2012
11200107,2012
11200108,2012
11200109,2012
11200110,2012
11200111,2012
11200112,2012
11200114,2012
11200115,2012
11200116,2012
11200117,2012
11200118,2012
11300001,2013
11300002,2013
11300003,2013
11300005,2013
11300006,2013
11300007,2013
11300008,2013
11300009,2013
11300010,2013
11300011,2013
11300012,2013
11300013,2013
11300014,2013
11300015,2013
11300016,2013
11300017,2013
11300018,2013
11300019,2013
11300020,2013
11300021,2013
11300022,2013
11300023,2013
11300024,2013
11300025,2013
11300026,2013
11300027,2013
11300028,2013
11300029,2013
11300030,2013
11300031,2013
11300032,2013
11300033,2013
11300034,2013
11300035,2013
11300036,2013
11300037,2013
11300038,2013
11300039,2013
11300040,2013
11300042,2013
11300043,2013
11300044,2013
11300045,2013
11300046,2013
11300047,2013
11300048,2013
11300049,2013
11300050,2013
11300051,2013
11300052,2013
11300053,2013
11300054,2013
11300055,2013
11300057,2013
11300058,2013
11300059,2013
11300060,2013
11300063,2013
11300064,2013
11300065,2013
11300066,2013
11300067,2013
11300068,2013
11300069,2013
11300070,2013
11300071,2013
11300072,2013
11300074,2013
11300075,2013
11300076,2013
11300077,2013
11300078,2013
11300079,2013
11300080,2013
11300082,2013
11300083,2013
11300084,2013
11300085,2013
11300086,2013
11300087,2013
11300088,2013
11300089,2013
11300090,2013
11300091,2013
11300092,2013
11300094,2013
11300095,2013
11300096,2013
11300097,2013
11300098,2013
11300099,2013
11300100,2013
11300101,2013
11300102,2013
11300103,2013
11300104,2013
11300105,2013
11300106,2013
11300107,2013
11300108,2013
11300109,2013
11300111,2013
11300112,2013
11300113,2013
11300115,2013
11400001,2014
11400002,2014
11400003,2014
11400004,2014
11400005,2014
11400006,2014
11400007,2014
11400008,2014
11400009,2014
11400010,2014
11400011,2014
11400012,2014
11400013,2014
11400014,2014
11400015,2014
11400016,2014
11400017,2014
11400018,2014
11400019,2014
11400020,2014
11400021,2014
11400022,2014
11400023,2014
11400024,2014
11400025,2014
11400026,2014
11400028,2014
11400029,2014
11400030,2014
11400031,2014
11400032,2014
11400033,2014
11400035,2014
11400036,2014
11400037,2014
11400038,2014
11400039,2014
11400040,2014
11400042,2014
11400043,2014
11400044,2014
11400047,2014
11400049,2014
11400051,2014
11400052,2014
11400053,2014
11400054,2014
11400055,2014
11400056,2014
11400057,2014
11400059,2014
11400060,2014
11400061,2014
11400062,2014
11400063,2014
11400064,2014
11400065,2014
11400066,2014
11400069,2014
11400070,2014
11400071,2014
11400072,2014
11400073,2014
11400074,2014
11400075,2014
11400076,2014
11400077,2014
11400078,2014
11400079,2014
11400080,2014
11400081,2014
11400082,2014
11400083,2014
11400084,2014
11400085,2014
11400086,2014
11400087,2014
11400088,2014
11400089,2014
11400090,2014
11400091,2014
11400092,2014
11400093,2014
11400094,2014
11400096,2014
11400098,2014
11400099,2014
11400100,2014
11400101,2014
11400103,2014
11400104,2014
11400105,2014
11400106,2014
11400107,2014
11400108,2014
11400109,2014
11400110,2014
11400111,2014
11400112,2014
11400114,2014
11400115,2014
11400116,2014
11400117,2014
11400118,2014
11500001,2015
11500002,2015
11500003,2015
11500004,2015
11500005,2015
11500006,2015
11500008,2015
11500009,2015
11500010,2015
11500011,2015
11500012,2015
11500013,2015
11500014,2015
11500015,2015
11500016,2015
11500017,2015
11500018,2015
11500019,2015
11500020,2015
11500021,2015
11500022,2015
11500023,2015
11500024,2015
11500025,2015
11500026,2015
11500028,2015
11500029,2015
11500030,2015
11500031,2015
11500032,2015
11500033,2015
